Date,abb,vol,hm
"Apr 01, 2020",168.4,112.85,123.1
"Apr 02, 2020",170.8,114.95,115.1
"Apr 03, 2020",168.8,112.1,114
"Apr 06, 2020",176.9,121,126
"Apr 07, 2020",181.9,128.5,134.9
"Apr 08, 2020",178,126.1,137.3
"Apr 09, 2020",179.8,127,136.5
"Apr 14, 2020",182.6,125.65,139.3
"Apr 15, 2020",173.6,117.6,133.9
"Apr 16, 2020",171.8,119.35,128.4
"Apr 17, 2020",175.6,124.4,135.4
"Apr 20, 2020",177.8,125.05,135.5
"Apr 21, 2020",171.9,120.7,129.9
"Apr 22, 2020",172.4,126.4,128.1
"Apr 23, 2020",174.3,119.7,128.4
"Apr 24, 2020",173.8,116.2,124.8
"Apr 27, 2020",179.1,118.3,129.6
"Apr 28, 2020",186.1,123.05,133.1
"Apr 29, 2020",190.8,128.95,141
"Apr 30, 2020",187.5,126.15,136.2
"Aug 03, 2020",225.6,155.35,135.9
"Aug 04, 2020",224.3,156.15,137.3
"Aug 05, 2020",225.5,158.5,141.4
"Aug 06, 2020",225.4,158.7,138.7
"Aug 07, 2020",226.1,158,138.3
"Aug 10, 2020",226.7,160,144.6
"Aug 11, 2020",230,164.2,150.8
"Aug 12, 2020",230.3,163.75,148
"Aug 13, 2020",230.2,163.1,149.2
"Aug 14, 2020",228.4,159.25,143.8
"Aug 17, 2020",231.1,162.9,143.8
"Aug 18, 2020",228.5,163.15,140.4
"Aug 19, 2020",229.3,165,141.6
"Aug 20, 2020",226.9,161.45,138.5
"Aug 21, 2020",226,160.35,138.3
"Aug 24, 2020",228.3,164.45,143.5
"Aug 25, 2020",226.9,163,143.5
"Aug 26, 2020",227.8,165,142.9
"Aug 27, 2020",224.8,165.65,142.2
"Aug 28, 2020",222.5,165.3,140.5
"Aug 31, 2020",220.2,165.3,137.9
"Dec 01, 2020",227.5,198.4,185.8
"Dec 02, 2020",226.5,194.85,184.2
"Dec 03, 2020",227.5,194.9,186.1
"Dec 04, 2020",227.9,195.15,187.9
"Dec 07, 2020",226.8,193.15,188.5
"Dec 08, 2020",228.9,194.3,187
"Dec 09, 2020",229.1,194.1,186.4
"Dec 10, 2020",228.1,191.75,186.1
"Dec 11, 2020",227.3,191.8,181.9
"Dec 14, 2020",226.6,192.3,183
"Dec 15, 2020",226.8,196.95,177.7
"Dec 16, 2020",226.7,196.55,177.4
"Dec 17, 2020",225.7,196.35,177.9
"Dec 18, 2020",226.3,198.35,173.8
"Dec 21, 2020",223.9,193.6,169
"Dec 22, 2020",226.7,194.55,171.6
"Dec 23, 2020",227.5,194.45,172.5
"Dec 28, 2020",232,195.7,172.5
"Dec 29, 2020",230,196.7,174.1
"Dec 30, 2020",229,193.8,172
"Feb 03, 2020",226,166.5,208.3
"Feb 04, 2020",230.6,171.4,210
"Feb 05, 2020",239.8,172.75,207.6
"Feb 06, 2020",239,170.45,208.8
"Feb 07, 2020",235.5,170.45,204
"Feb 10, 2020",234.7,172.9,204.3
"Feb 11, 2020",238.1,173.1,204.1
"Feb 12, 2020",237.8,173.25,203.9
"Feb 13, 2020",235.7,172.8,202.2
"Feb 14, 2020",235,173.35,204.5
"Feb 17, 2020",236.5,173.4,204.5
"Feb 18, 2020",236,172.3,201.8
"Feb 19, 2020",239.2,171.7,202.8
"Feb 20, 2020",238.5,173.45,203.9
"Feb 21, 2020",233.7,170.7,204.2
"Feb 24, 2020",223,162.25,191.1
"Feb 25, 2020",220.3,158.75,187.3
"Feb 26, 2020",222.3,160.2,186.5
"Feb 27, 2020",214.9,152.75,180.5
"Feb 28, 2020",208.2,148.8,173.4
"Jan 04, 2021",234,197.6,171
"Jan 07, 2020",229.9,158.55,192.9
"Jan 08, 2020",230.4,159.5,192.5
"Jan 09, 2020",229.9,156.8,190
"Jan 10, 2020",228.6,156.05,185
"Jan 13, 2020",226.5,155.8,185.2
"Jan 14, 2020",225.5,156.5,184.8
"Jan 15, 2020",226,155.9,183.2
"Jan 16, 2020",227.2,157.15,184.9
"Jan 17, 2020",227.6,159.45,185
"Jan 20, 2020",226.9,160.4,184.2
"Jan 21, 2020",226.9,161.45,185.7
"Jan 22, 2020",228.6,158.1,186.5
"Jan 23, 2020",225.7,155.2,187.8
"Jan 24, 2020",230.5,156.6,188.9
"Jan 27, 2020",224.4,149.9,184.6
"Jan 28, 2020",224.3,152.7,189.6
"Jan 29, 2020",227.3,153,189.7
"Jan 30, 2020",226.2,163.9,207.6
"Jan 31, 2020",224.8,165.3,211.7
"Jul 01, 2020",214.7,147.15,135.7
"Jul 02, 2020",220.1,148.8,140.8
"Jul 03, 2020",219.8,148.8,141.5
"Jul 06, 2020",224.3,153.35,142.6
"Jul 07, 2020",224.2,155.2,140.1
"Jul 08, 2020",225.2,153.3,137.9
"Jul 09, 2020",223.7,152.05,136.6
"Jul 10, 2020",224.2,153.3,137.6
"Jul 13, 2020",222.9,158,140
"Jul 14, 2020",223.6,157.45,135.5
"Jul 15, 2020",223.8,161.4,139.5
"Jul 16, 2020",224,158.75,136.9
"Jul 17, 2020",223.1,160.1,135.4
"Jul 20, 2020",222.9,159.55,134.8
"Jul 21, 2020",221.6,157.4,136.9
"Jul 22, 2020",228.6,160.1,135.4
"Jul 23, 2020",231,159.5,136.2
"Jul 24, 2020",228.3,157.65,135
"Jul 27, 2020",227.3,159,135.1
"Jul 28, 2020",227.1,156,136.4
"Jul 29, 2020",226.3,158.6,138.6
"Jul 30, 2020",221.8,154.3,132.6
"Jul 31, 2020",218.5,150.9,135.9
"Jun 01, 2020",187.9,138.31,148
"Jun 02, 2020",190.6,142.25,153.9
"Jun 03, 2020",199.4,147.2,157.2
"Jun 04, 2020",197.4,147.7,156.6
"Jun 05, 2020",200.4,153,168.3
"Jun 08, 2020",202.1,152.4,166
"Jun 09, 2020",200,149.85,159.7
"Jun 10, 2020",201.7,146.25,155.4
"Jun 11, 2020",193.9,136.2,144.6
"Jun 12, 2020",194.3,136.8,143.9
"Jun 15, 2020",195.9,136.5,144.4
